epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2645.27,2.68998,6.08316,0.86215,0.6014,0.46443,0.42255,0.14706,2.56204,2.46055,0.89474,0.00999626,0.00333209,0.00999626,0.00333209,0.00999626,0.00333209,0.00999626,0.00333209
2,4975.43,2.63671,1.64179,0.84433,0.60651,0.43208,0.41617,0.15081,2.55592,2.02461,0.89667,0.0196003,0.00653344,0.0196003,0.00653344,0.0196003,0.00653344,0.0196003,0.00653344
3,7054.41,2.60521,1.64079,0.84192,0.58738,0.42385,0.40191,0.14374,2.59552,2.01165,0.90739,0.0288084,0.0096028,0.0288084,0.0096028,0.0288084,0.0096028,0.0288084,0.0096028
4,9108.1,2.53802,1.55542,0.83417,0.63164,0.48705,0.46707,0.16758,2.50818,1.8708,0.88735,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,11179.3,2.44701,1.45997,0.82302,0.60359,0.48793,0.46425,0.17001,2.50204,1.85936,0.88612,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,13255.4,2.38678,1.39381,0.8152,0.60989,0.50308,0.47267,0.16224,2.52995,1.83236,0.88883,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,15328.9,2.33565,1.35177,0.81179,0.61399,0.50003,0.47399,0.16944,2.48322,1.84408,0.88086,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,17385.8,2.30434,1.32393,0.81039,0.63783,0.49748,0.49326,0.18164,2.47541,1.76423,0.87951,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,19451.7,2.26766,1.28435,0.8055,0.62025,0.51855,0.49676,0.1836,2.4545,1.78053,0.8778,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,21501.5,2.23279,1.26627,0.80531,0.62409,0.51972,0.5044,0.1885,2.45364,1.7202,0.87642,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,23559.3,2.21612,1.25142,0.80173,0.63244,0.51556,0.50056,0.18761,2.44113,1.75997,0.87472,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,25610.5,2.19111,1.22783,0.80188,0.64152,0.51953,0.50863,0.18934,2.44602,1.71393,0.87366,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,27650.5,2.17508,1.20812,0.79959,0.64178,0.52171,0.51247,0.19043,2.453,1.75369,0.87454,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,29693,2.15022,1.19362,0.79802,0.6373,0.52658,0.51225,0.19008,2.44443,1.7674,0.87388,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,31760.3,2.13627,1.1837,0.79523,0.64439,0.52174,0.51189,0.18897,2.44497,1.74683,0.87301,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,33799,2.13197,1.17833,0.79503,0.63649,0.52098,0.50692,0.18739,2.45356,1.78215,0.87543,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,35844,2.1082,1.15155,0.79317,0.63777,0.52274,0.51115,0.18975,2.4469,1.79377,0.87436,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,37877.2,2.10108,1.14985,0.79309,0.63916,0.52731,0.51527,0.19313,2.43668,1.75776,0.8726,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,39916.1,2.08761,1.13235,0.79167,0.64183,0.52792,0.5182,0.19331,2.43688,1.74853,0.87181,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,41953.5,2.06827,1.12685,0.79196,0.64674,0.52874,0.52085,0.19403,2.43785,1.73757,0.87208,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,44018.4,2.07806,1.12977,0.79042,0.64448,0.52672,0.5185,0.19247,2.43823,1.74738,0.87239,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
