epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2681.09,2.68308,6.28186,0.86253,0.58695,0.44456,0.39764,0.14032,2.57032,2.08766,0.90613,0.00999626,0.00333209,0.00999626,0.00333209,0.00999626,0.00333209,0.00999626,0.00333209
2,4954.1,2.61734,1.57474,0.84185,0.59369,0.44644,0.41041,0.14023,2.59611,2.05734,0.90245,0.0196003,0.00653344,0.0196003,0.00653344,0.0196003,0.00653344,0.0196003,0.00653344
3,7092.52,2.59732,1.57466,0.83916,0.58884,0.45165,0.41774,0.14934,2.58742,2.06061,0.90833,0.0288084,0.0096028,0.0288084,0.0096028,0.0288084,0.0096028,0.0288084,0.0096028
4,9175.4,2.53851,1.50756,0.83522,0.63589,0.4758,0.47327,0.16848,2.49849,1.8627,0.88909,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,11220.9,2.43819,1.39597,0.82409,0.62901,0.47835,0.46977,0.17473,2.48146,1.88323,0.88612,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,13287.4,2.36814,1.34477,0.81475,0.6181,0.49156,0.47499,0.17701,2.47116,1.80427,0.88155,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,15353,2.31574,1.29218,0.81118,0.60595,0.50317,0.46752,0.164,2.49648,1.82112,0.88539,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,17412,2.27743,1.26166,0.80663,0.63171,0.48371,0.47767,0.17572,2.4749,1.75757,0.87983,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,19464.1,2.24125,1.23015,0.80679,0.61521,0.50639,0.47896,0.17531,2.46946,1.76013,0.88018,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,21531.9,2.2293,1.20874,0.80189,0.62116,0.4971,0.47422,0.17364,2.49454,1.797,0.88146,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,23603.2,2.19241,1.18413,0.80056,0.63205,0.50882,0.49377,0.1812,2.46019,1.7723,0.87655,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,25655.9,2.17004,1.16876,0.79736,0.62695,0.5027,0.48908,0.17847,2.46299,1.7793,0.8771,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
