epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
14,3437.82,1.91759,1.34941,1.03303,0.62651,0.4898,0.4659,0.17969,2.29033,1.84381,1.16725,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286,0.0189686,0.00632286
15,6898.03,1.91058,1.34149,1.03018,0.62553,0.49136,0.46271,0.17798,2.28873,1.8579,1.16616,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
16,10413,1.89118,1.31545,1.02205,0.62487,0.49257,0.46051,0.17611,2.29249,1.85837,1.16764,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
17,13887,1.8794,1.31031,1.02217,0.62367,0.49351,0.45801,0.17479,2.29401,1.86739,1.16864,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
18,17351.5,1.86412,1.2941,1.01654,0.62601,0.49338,0.45858,0.17459,2.29779,1.86499,1.17031,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
19,20803.3,1.84685,1.27659,1.01238,0.62939,0.49467,0.46175,0.1752,2.29866,1.86525,1.17089,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
20,24262.1,1.83025,1.2545,1.00909,0.63011,0.49385,0.4624,0.17552,2.29854,1.86408,1.17149,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
21,27722.1,1.81733,1.24657,1.00633,0.63027,0.49294,0.46145,0.17532,2.29705,1.86832,1.17148,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
22,31135.1,1.80121,1.22868,1.0026,0.63015,0.49197,0.46002,0.1746,2.2967,1.875,1.17152,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
23,34549.3,1.78984,1.21154,0.99962,0.63156,0.49112,0.45887,0.17399,2.29574,1.88115,1.17157,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
24,37982.5,1.7738,1.20049,0.9943,0.63164,0.48986,0.45884,0.17405,2.29677,1.88618,1.17205,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
25,41404.1,1.76202,1.19069,0.99292,0.63282,0.48942,0.45903,0.17403,2.29859,1.89082,1.17297,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143
26,44798.3,1.73107,1.20959,1.01783,0.63416,0.48705,0.4575,0.17353,2.30017,1.89971,1.17388,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
27,48188.3,1.71282,1.18861,1.0138,0.63452,0.48629,0.45694,0.17306,2.30167,1.90855,1.17453,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571
28,51561.4,1.69258,1.17162,1.00858,0.63569,0.48306,0.45561,0.17251,2.30379,1.91935,1.17579,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286
29,54929.5,1.67895,1.15751,1.00357,0.63725,0.47952,0.45342,0.17166,2.3049,1.93365,1.17647,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
