track_id,team_id,samples
1,1,345
2,0,175
3,0,195
5,1,544
6,0,419
7,1,153
8,0,172
9,1,416
10,1,379
11,0,153
12,1,119
13,0,55
14,0,10
15,1,1
16,1,162
17,1,80
18,0,3
20,0,33
23,1,54
26,1,3
32,0,124
37,1,2
44,1,15
47,1,25
51,1,1
52,1,2
53,1,439
54,1,491
55,1,2
61,1,4
66,1,17
71,1,3
72,0,173
79,1,123
80,1,229
84,1,11
95,1,296
98,0,39
104,1,299
110,0,3
115,0,14
119,0,227
122,1,11
123,0,89
125,1,1
129,0,85
143,0,3
144,0,67
147,0,102
148,0,269
152,0,298
155,0,270
162,0,2
165,1,2
169,0,33
171,0,4
173,0,61
195,1,83
203,0,6
227,1,22
335,0,22
336,0,124
341,1,9
404,0,28
434,0,87
445,0,112
447,1,112
496,0,106
511,0,86
520,1,103
521,0,103
526,0,17
530,1,67
534,1,73
539,1,44
543,0,93
562,1,4
568,1,26
573,1,2
605,1,18
617,1,15
626,1,14
665,1,5
675,0,2
