epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2638.04,3.17522,7.30233,0.00151,0.42563,0.37403,0.30459,0.10243,2.23533,2.55076,0.00157,0.00599775,0.00199925,0.00599775,0.00199925,0.0860052,0.0820067,0.00599775,0.00199925
2,4647.96,2.51911,2.49968,0.00093,0.46475,0.40823,0.34672,0.12326,2.21174,2.39973,0.00154,0.0119578,0.00398593,0.0119578,0.00398593,0.0719653,0.0639934,0.0119578,0.00398593
3,6525.54,2.43351,2.16503,0.00088,0.53686,0.4385,0.40942,0.15297,2.1837,2.27452,0.00152,0.0178779,0.0059593,0.0178779,0.0059593,0.0578854,0.0459668,0.0178779,0.0059593
4,8263.21,2.36777,2.06864,0.00085,0.54878,0.44333,0.39896,0.14718,2.26263,2.21235,0.00159,0.023758,0.00791934,0.023758,0.00791934,0.0437655,0.0279268,0.023758,0.00791934
5,9887.02,2.37644,2.08516,0.00085,0.55636,0.44984,0.42384,0.15715,2.18127,2.29508,0.00152,0.0295982,0.00986606,0.0295982,0.00986606,0.0296057,0.00987355,0.0295982,0.00986606
6,11491.3,2.36116,2.07034,0.00085,0.53927,0.44943,0.39949,0.14762,2.18776,2.3031,0.00153,0.0295005,0.0098335,0.0295005,0.0098335,0.0295005,0.0098335,0.0295005,0.0098335
7,13122.1,2.29355,1.95091,0.00082,0.57035,0.46416,0.42399,0.1565,2.18862,2.20184,0.00152,0.0294006,0.0098002,0.0294006,0.0098002,0.0294006,0.0098002,0.0294006,0.0098002
8,14743.8,2.25859,1.8636,0.0008,0.58436,0.47865,0.44185,0.16744,2.15514,2.17772,0.0015,0.0293007,0.0097669,0.0293007,0.0097669,0.0293007,0.0097669,0.0293007,0.0097669
9,16353.6,2.21246,1.80249,0.00078,0.57774,0.47624,0.45012,0.17124,2.15616,2.13005,0.0015,0.0292008,0.0097336,0.0292008,0.0097336,0.0292008,0.0097336,0.0292008,0.0097336
10,17979,2.19186,1.76425,0.00077,0.58699,0.48395,0.46144,0.17559,2.14358,2.10452,0.00149,0.0291009,0.0097003,0.0291009,0.0097003,0.0291009,0.0097003,0.0291009,0.0097003
11,19587.1,2.17574,1.72691,0.00077,0.58352,0.47713,0.45143,0.16871,2.18803,2.10222,0.00153,0.029001,0.009667,0.029001,0.009667,0.029001,0.009667,0.029001,0.009667
