epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1298.19,3.44631,4.53316,0.70639,0.49891,0.34523,0.28078,0.07765,3.29348,2.33695,0.726,0.00999251,0.00333084,0.00999251,0.00333084,0.00999251,0.00333084,0.00999251,0.00333084
2,2473.2,3.39612,1.5461,0.69026,0.51441,0.35959,0.31238,0.08741,3.21624,2.07457,0.73085,0.0195967,0.00653222,0.0195967,0.00653222,0.0195967,0.00653222,0.0195967,0.00653222
3,3591.8,3.37368,1.55193,0.68793,0.36988,0.23831,0.17321,0.05014,3.2796,2.96699,0.72226,0.0288048,0.0096016,0.0288048,0.0096016,0.0288048,0.0096016,0.0288048,0.0096016
4,4636.39,3.32641,1.52431,0.68395,0.49526,0.35402,0.28532,0.08468,3.2057,1.96778,0.72955,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,5688.39,3.20082,1.37291,0.67835,0.54416,0.36993,0.3256,0.10427,3.07799,2.06147,0.712,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,6740.89,3.1424,1.30399,0.67472,0.55546,0.3956,0.35481,0.11322,3.04098,1.85696,0.70772,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,7790.3,3.09555,1.24486,0.67205,0.57729,0.431,0.38493,0.1219,3.02437,1.7753,0.70725,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,8845.09,3.05907,1.21133,0.67111,0.58047,0.40357,0.37525,0.12457,3.00261,1.87195,0.70287,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,9886.39,3.03579,1.18312,0.66954,0.57051,0.41309,0.38408,0.12941,2.99026,1.81994,0.70012,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,10939.2,2.9975,1.15264,0.66822,0.57317,0.41171,0.38273,0.12551,3.0092,1.79858,0.70088,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,11994.6,2.98432,1.13909,0.6666,0.58823,0.42724,0.39839,0.12972,3.00171,1.82769,0.70427,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,13050.5,2.96683,1.12672,0.66524,0.57837,0.41289,0.38548,0.12573,2.99343,1.95073,0.70236,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,14101.3,2.9337,1.09966,0.66453,0.58394,0.39534,0.38201,0.12774,2.99778,1.95187,0.69979,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,15148.4,2.91473,1.08007,0.66493,0.57723,0.42262,0.39351,0.13109,2.98185,1.88564,0.70053,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,16190.1,2.90748,1.07546,0.66399,0.5774,0.41444,0.39163,0.13093,2.97629,1.92867,0.69966,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,17241.4,2.89412,1.06116,0.6628,0.57917,0.40729,0.38881,0.12933,2.97607,1.94664,0.70037,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,18289.2,2.88761,1.05168,0.66176,0.5866,0.41265,0.39617,0.13269,2.97337,1.89695,0.69903,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,19334.3,2.86574,1.03384,0.66204,0.58685,0.4145,0.39761,0.13361,2.96916,1.89885,0.69863,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,20378.6,2.85728,1.02208,0.6604,0.58111,0.41634,0.39405,0.12926,2.97982,1.92716,0.69896,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,21422.6,2.84476,1.01576,0.66016,0.58517,0.41453,0.39233,0.12903,2.97943,1.93531,0.69927,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,22466,2.83801,1.01057,0.66057,0.58147,0.41418,0.39211,0.12943,2.97757,1.94283,0.69936,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,23509.7,2.82986,1.00062,0.65874,0.57797,0.41657,0.39425,0.13051,2.9714,1.94818,0.69949,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,24561.4,2.80484,0.98681,0.65988,0.57679,0.41315,0.3926,0.13134,2.97067,1.97441,0.69938,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,25617.7,2.79792,0.98448,0.66048,0.581,0.41174,0.39324,0.13138,2.96938,1.98507,0.69929,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,26664.5,2.79769,0.9777,0.65898,0.57972,0.41295,0.39336,0.13078,2.96933,1.99394,0.69918,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,27711.1,2.78763,0.96846,0.65806,0.58104,0.41022,0.39219,0.13023,2.96901,2.00261,0.6992,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,28760,2.77775,0.96446,0.65864,0.58001,0.4111,0.39175,0.12996,2.96996,2.0088,0.69921,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,29809.3,2.75558,0.9539,0.65775,0.5768,0.41136,0.39004,0.12921,2.9695,2.02264,0.69902,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,30860.2,2.76288,0.95008,0.65686,0.57668,0.41016,0.38951,0.12885,2.9695,2.03629,0.69889,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,31913.2,2.75042,0.94369,0.65614,0.57603,0.40905,0.3894,0.12922,2.96812,2.05106,0.69883,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,32960.3,2.74461,0.93676,0.65635,0.57527,0.40764,0.38865,0.12907,2.96873,2.06596,0.69888,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,34011.5,2.72553,0.92632,0.65708,0.57517,0.40583,0.38775,0.12872,2.9689,2.0783,0.6989,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,35060.2,2.723,0.9247,0.65609,0.57205,0.40541,0.38666,0.12844,2.96929,2.09027,0.69895,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
