Sequence,Ball_F1,Ball_Prec_IoU50,Ball_Rec_IoU50,Ball_Prec,Ball_Rec,Ball_RMSE,Ball_MAE,Ball_FPPI,Ball_Frags,MOTA,IDF1,MOTP,ID_Switches,Team_Clustering_Acc,Ref_Prec,Ref_Rec,GK_Prec,GK_Rec,Tracks_Eval,GT_Refs,GT_GKs,Composite_Score
SNMOT-148,0.9107,0.5987,0.5987,0.9107,0.9107,43.94,13.92,0.0893,0,0.9437,0.8126,0.1702,41,1.0,1.0,0.6667,0.0,0.0,48,2,0,0.9389411563913089
SNMOT-126,0.9355,0.5333,0.542,0.928,0.9431,27.9,8.85,0.072,0,0.9447,0.7592,0.1504,17,0.9667,1.0,0.6667,0.0,0.0,34,2,0,0.9351618721738171
SNMOT-134,0.962,0.8493,0.8823,0.944,0.9806,24.04,5.07,0.056,0,0.8882,0.7453,0.1968,61,0.9744,1.0,1.0,1.0,1.0,58,2,1,0.9292645880666152
SNMOT-188,0.9003,0.7373,0.7423,0.8973,0.9034,95.17,27.88,0.1027,0,0.9197,0.8876,0.2614,17,0.9643,1.0,0.6667,1.0,1.0,36,2,1,0.9284861084151319
SNMOT-141,0.945,0.8133,0.8221,0.94,0.9501,37.82,8.97,0.06,0,0.9315,0.652,0.189,35,0.9787,1.0,1.0,1.0,1.0,56,2,1,0.92606364894673
SNMOT-192,0.9351,0.592,0.596,0.932,0.9383,25.1,7.85,0.068,0,0.9005,0.708,0.2099,39,1.0,1.0,0.5,0.5,1.0,57,3,1,0.9256245158266239
SNMOT-117,0.9447,0.3253,0.3324,0.9347,0.955,49.56,11.67,0.0653,0,0.9277,0.7889,0.1667,25,0.8947,1.0,1.0,1.0,1.0,50,2,1,0.9215252073453182
SNMOT-195,0.9066,0.66,0.6799,0.8933,0.9203,85.38,24.77,0.1067,0,0.8963,0.7246,0.2113,40,1.0,1.0,0.5,0.0,0.0,62,2,0,0.9156900303297674
SNMOT-196,0.908,0.18,0.18,0.908,0.908,68.39,20.78,0.092,0,0.873,0.6857,0.2225,66,1.0,1.0,0.6667,0.0,0.0,79,2,0,0.9069571787801919
SNMOT-121,0.8117,0.4253,0.5472,0.7213,0.928,27.05,11.39,0.2787,0,0.9628,0.7901,0.1985,24,0.9722,1.0,1.0,1.0,1.0,39,1,1,0.9067649961398478
SNMOT-124,0.9258,0.4973,0.5007,0.9227,0.9289,35.36,11.89,0.0773,0,0.8752,0.6053,0.1942,45,1.0,1.0,0.6667,1.0,1.0,58,2,1,0.9059000430131244
SNMOT-122,0.952,0.584,0.584,0.952,0.952,20.65,6.85,0.048,0,0.8962,0.505,0.1698,130,0.9552,1.0,0.6667,1.0,1.0,81,2,1,0.9005067530605492
SNMOT-137,0.8887,0.6147,0.6289,0.8787,0.899,90.13,28.04,0.1213,0,0.8974,0.7332,0.1784,47,0.9394,0.5,0.5,1.0,1.0,49,2,1,0.8991778669901842
SNMOT-139,0.8938,0.7027,0.7433,0.8693,0.9196,115.15,30.51,0.1307,0,0.9123,0.6396,0.1929,103,0.9615,1.0,1.0,1.0,1.0,61,1,1,0.898665029778317
SNMOT-187,0.8539,0.376,0.3874,0.8413,0.8668,91.77,32.19,0.1587,0,0.9066,0.6197,0.2036,93,0.9592,1.0,0.6667,0.6667,1.0,68,2,1,0.8835936042792544
SNMOT-118,0.778,0.3787,0.3928,0.764,0.7925,186.71,81.06,0.236,0,0.9215,0.7738,0.1783,31,0.975,1.0,0.6667,1.0,1.0,49,2,1,0.879977322708724
SNMOT-197,0.7747,0.5027,0.5027,0.7747,0.7747,277.55,106.24,0.2253,0,0.9631,0.8156,0.2051,30,0.9211,1.0,1.0,1.0,1.0,49,2,1,0.8797816979155179
SNMOT-128,0.7347,0.508,0.6125,0.672,0.8103,280.23,105.01,0.328,0,0.9336,0.8399,0.1971,37,1.0,1.0,0.5,0.0,0.0,46,2,0,0.878528024704974
SNMOT-146,0.7347,0.6093,0.6093,0.7347,0.7347,303.16,148.86,0.2653,0,0.9535,0.858,0.1803,11,0.9545,1.0,1.0,0.0,0.0,29,2,0,0.8754543393625235
SNMOT-132,0.8387,0.6187,0.6187,0.8387,0.8387,39.88,15.48,0.1613,0,0.9271,0.6733,0.1893,54,0.8776,1.0,1.0,1.0,1.0,65,2,1,0.8749154896878791
SNMOT-149,0.7882,0.5267,0.6846,0.6973,0.9064,62.86,17.86,0.3027,0,0.9296,0.7449,0.1811,35,0.9167,1.0,0.6667,1.0,1.0,47,2,1,0.8746101499944854
SNMOT-191,0.7699,0.3427,0.4241,0.696,0.8614,76.62,27.6,0.304,0,0.9269,0.7201,0.1913,53,0.9512,1.0,1.0,0.3333,1.0,68,2,1,0.8724098726149775
SNMOT-129,0.7711,0.44,0.6667,0.64,0.9697,28.48,7.4,0.36,0,0.9461,0.6845,0.1887,48,0.925,1.0,0.6667,1.0,1.0,47,2,1,0.8703626817028787
SNMOT-119,0.7252,0.42,0.4309,0.716,0.7346,406.97,188.48,0.284,0,0.8955,0.8763,0.1649,18,1.0,1.0,1.0,0.0,0.0,35,2,0,0.8655995759347083
SNMOT-125,0.9352,0.76,0.7631,0.9333,0.9371,44.49,11.61,0.0667,0,0.8007,0.5636,0.2055,152,0.8667,1.0,0.6667,1.0,1.0,73,3,1,0.8589629585309363
SNMOT-190,0.7765,0.5267,0.6115,0.7227,0.839,176.02,65.65,0.2773,0,0.8437,0.684,0.237,53,1.0,1.0,0.6667,0.0,0.0,69,2,0,0.856451022940333
SNMOT-133,0.6576,0.5427,0.5661,0.644,0.6718,131.75,43.25,0.356,0,0.9103,0.7739,0.19,48,1.0,1.0,1.0,1.0,1.0,54,2,1,0.8478857852652475
SNMOT-140,0.8182,0.5747,0.614,0.792,0.8462,206.07,66.37,0.208,0,0.8614,0.4653,0.2229,169,0.9833,1.0,0.6667,1.0,1.0,89,2,1,0.8471817580236021
SNMOT-194,0.6613,0.304,0.3102,0.6547,0.668,228.87,116.23,0.3453,0,0.9131,0.7961,0.2173,33,0.9737,1.0,0.6667,0.0,0.0,55,2,1,0.8434423739936032
SNMOT-147,0.8442,0.6227,0.6605,0.82,0.8699,79.06,24.8,0.18,0,0.714,0.621,0.1791,93,0.9792,1.0,0.6667,0.0,0.0,80,3,1,0.8370841402889599
