epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1340.19,2.50731,2.00589,0.93504,0.54055,0.42827,0.37171,0.12657,2.66724,2.05597,0.95487,0.0680095,0.00133294,0.00133294
2,2689.37,2.35528,1.58304,0.9157,0.56537,0.45584,0.41293,0.14709,2.55884,2.04521,0.93685,0.0359765,0.00263327,0.00263327
3,4014.86,2.2946,1.49643,0.9072,0.61836,0.44635,0.44021,0.16212,2.51628,1.90119,0.93097,0.00391055,0.00390061,0.00390061
4,5338.3,2.21867,1.44297,0.89572,0.58544,0.46624,0.43692,0.15909,2.51745,1.83237,0.92688,0.0038515,0.0038515,0.0038515
5,6663.41,2.15406,1.3874,0.88812,0.60568,0.48118,0.45652,0.16978,2.47953,1.77526,0.91991,0.003802,0.003802,0.003802
6,7996.07,2.10197,1.33824,0.8821,0.61512,0.48655,0.46473,0.16871,2.45796,1.7208,0.91666,0.0037525,0.0037525,0.0037525
7,9325.43,2.05635,1.29742,0.87655,0.59935,0.48857,0.45982,0.16659,2.46848,1.7063,0.91831,0.003703,0.003703,0.003703
8,10658.7,2.03926,1.27913,0.87405,0.60926,0.50403,0.47381,0.17385,2.44647,1.68724,0.91507,0.0036535,0.0036535,0.0036535
9,11993,2.01668,1.25328,0.87183,0.60962,0.49915,0.47561,0.1731,2.45588,1.66405,0.91581,0.003604,0.003604,0.003604
10,13328.9,1.98834,1.23043,0.86998,0.598,0.49865,0.47376,0.17405,2.45525,1.67144,0.91539,0.0035545,0.0035545,0.0035545
11,14671.8,1.96358,1.20952,0.86635,0.60129,0.49678,0.47171,0.17334,2.449,1.68258,0.91526,0.003505,0.003505,0.003505
12,16021.5,1.95048,1.19764,0.86503,0.61097,0.50516,0.48505,0.17793,2.44592,1.67283,0.91428,0.0034555,0.0034555,0.0034555
13,17359,1.92759,1.17807,0.86399,0.60531,0.50585,0.48303,0.17874,2.44494,1.66659,0.91399,0.003406,0.003406,0.003406
14,18676.8,1.9149,1.17337,0.86223,0.59999,0.5104,0.48274,0.17878,2.45251,1.65563,0.91516,0.0033565,0.0033565,0.0033565
15,19995.3,1.89501,1.14878,0.85945,0.6116,0.50522,0.48551,0.18035,2.43649,1.64856,0.91385,0.003307,0.003307,0.003307
16,21330.2,1.88434,1.14942,0.85906,0.61199,0.50809,0.48795,0.18133,2.44035,1.6442,0.91415,0.0032575,0.0032575,0.0032575
17,22665.7,1.87262,1.14062,0.85908,0.6081,0.50747,0.48841,0.18159,2.44337,1.65125,0.91454,0.003208,0.003208,0.003208
18,24001.9,1.86858,1.12671,0.85661,0.61102,0.50875,0.48986,0.18313,2.44453,1.64993,0.9153,0.0031585,0.0031585,0.0031585
19,25334.4,1.85045,1.11367,0.85497,0.60984,0.51099,0.4869,0.18238,2.44413,1.65127,0.91512,0.003109,0.003109,0.003109
20,26666,1.84553,1.11477,0.85319,0.60676,0.51087,0.48636,0.18185,2.44921,1.65594,0.9164,0.0030595,0.0030595,0.0030595
21,27999.9,1.84063,1.10537,0.85466,0.61271,0.51313,0.48866,0.18267,2.44816,1.64798,0.91719,0.00301,0.00301,0.00301
