epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,913.618,1.451,0.80063,0.98039,0.64373,0.53738,0.54998,0.30261,1.34135,0.79147,0.98952,0.0683452,0.00166604,0.00166604
2,1727.97,1.38059,0.69705,0.95789,0.69775,0.54845,0.56195,0.31998,1.29683,0.78388,0.9791,0.0366455,0.00329972,0.00329972
3,2529.99,1.34352,0.66594,0.94879,0.72398,0.59826,0.61949,0.35991,1.27923,0.69027,0.97412,0.00491286,0.00490039,0.00490039
4,3334.84,1.30939,0.64018,0.94007,0.69951,0.57464,0.58561,0.33427,1.27002,0.72998,0.96905,0.0048515,0.0048515,0.0048515
5,4140.61,1.28943,0.62543,0.93599,0.73488,0.58549,0.60292,0.35345,1.24587,0.6878,0.9627,0.004802,0.004802,0.004802
6,4945.57,1.27426,0.61337,0.93135,0.73185,0.58423,0.60008,0.35509,1.23729,0.69038,0.95904,0.0047525,0.0047525,0.0047525
7,5750.07,1.26082,0.60444,0.92801,0.74525,0.56368,0.60254,0.35813,1.24047,0.67592,0.95969,0.004703,0.004703,0.004703
8,6550.43,1.2476,0.59547,0.9255,0.7388,0.59201,0.60815,0.36119,1.23167,0.67545,0.95845,0.0046535,0.0046535,0.0046535
9,7350.16,1.23788,0.5876,0.92451,0.7433,0.58579,0.60792,0.36424,1.23843,0.66903,0.95961,0.004604,0.004604,0.004604
10,8156.23,1.22868,0.58,0.92116,0.7521,0.58784,0.61471,0.36806,1.23716,0.66226,0.96039,0.0045545,0.0045545,0.0045545
11,8960.88,1.21928,0.57309,0.91969,0.75436,0.58641,0.61246,0.36719,1.22949,0.6543,0.9575,0.004505,0.004505,0.004505
12,9763.08,1.21287,0.56874,0.91878,0.74373,0.59601,0.61516,0.36953,1.22995,0.65907,0.95898,0.0044555,0.0044555,0.0044555
13,10619.1,1.20315,0.56281,0.91715,0.74366,0.5972,0.6166,0.37002,1.22976,0.65375,0.95787,0.004406,0.004406,0.004406
14,11423.4,1.19656,0.55889,0.91581,0.75219,0.5926,0.61667,0.37038,1.23129,0.65095,0.95856,0.0043565,0.0043565,0.0043565
15,12229.5,1.18896,0.55324,0.91386,0.75448,0.58952,0.61857,0.37034,1.23085,0.64669,0.95803,0.004307,0.004307,0.004307
16,13029.5,1.1812,0.54696,0.91163,0.75844,0.58452,0.61225,0.36673,1.2334,0.6495,0.95877,0.0042575,0.0042575,0.0042575
17,13834,1.17772,0.54422,0.91159,0.76088,0.58543,0.61568,0.36844,1.23345,0.64408,0.95893,0.004208,0.004208,0.004208
18,14633.1,1.17299,0.54172,0.91066,0.76176,0.58612,0.61756,0.36905,1.23422,0.64287,0.95926,0.0041585,0.0041585,0.0041585
19,15431.2,1.16731,0.53657,0.90924,0.76116,0.58856,0.61839,0.36954,1.23342,0.6416,0.95911,0.004109,0.004109,0.004109
20,16228.3,1.16325,0.53449,0.90886,0.75652,0.59007,0.6189,0.36972,1.23501,0.63971,0.95933,0.0040595,0.0040595,0.0040595
21,17025.7,1.15898,0.53201,0.90752,0.75667,0.58798,0.61802,0.36925,1.2363,0.63935,0.95952,0.00401,0.00401,0.00401
22,17824.5,1.15491,0.52801,0.90662,0.75682,0.58766,0.61808,0.36925,1.23681,0.6389,0.9597,0.0039605,0.0039605,0.0039605
23,18620.3,1.15339,0.52692,0.90667,0.75776,0.58716,0.61834,0.36938,1.23744,0.63797,0.95996,0.003911,0.003911,0.003911
24,19419.9,1.14837,0.52334,0.90583,0.75702,0.58749,0.61875,0.3698,1.23826,0.63676,0.96018,0.0038615,0.0038615,0.0038615
25,20224.3,1.14409,0.52169,0.90455,0.757,0.58716,0.61918,0.36992,1.23857,0.63622,0.96038,0.003812,0.003812,0.003812
26,21024.6,1.13935,0.51757,0.90383,0.7571,0.58711,0.61906,0.3702,1.23925,0.6353,0.96055,0.0037625,0.0037625,0.0037625
27,21825.5,1.13703,0.51661,0.90273,0.75667,0.58569,0.61899,0.37055,1.23955,0.63496,0.96064,0.003713,0.003713,0.003713
28,22625.1,1.13432,0.51474,0.90221,0.75761,0.58559,0.61912,0.37092,1.23986,0.63482,0.96073,0.0036635,0.0036635,0.0036635
29,23421.8,1.13163,0.5131,0.90216,0.75785,0.58474,0.61895,0.37074,1.2402,0.63443,0.96082,0.003614,0.003614,0.003614
30,24905.6,1.12746,0.50991,0.90149,0.75832,0.58458,0.61931,0.37095,1.24067,0.63384,0.96096,0.0035645,0.0035645,0.0035645
31,25699.3,1.12683,0.50946,0.9012,0.75745,0.58403,0.6188,0.37056,1.24082,0.63357,0.961,0.003515,0.003515,0.003515
32,26499.9,1.12208,0.50787,0.90071,0.75472,0.58474,0.61879,0.37061,1.24088,0.63322,0.96107,0.0034655,0.0034655,0.0034655
33,27300.8,1.11907,0.50599,0.89982,0.75389,0.58543,0.61948,0.37111,1.24093,0.63234,0.96113,0.003416,0.003416,0.003416
34,28102.1,1.11521,0.5035,0.89863,0.75503,0.58416,0.61991,0.37133,1.24122,0.63136,0.96126,0.0033665,0.0033665,0.0033665
35,28894.1,1.11563,0.50254,0.89861,0.75543,0.58321,0.61941,0.3712,1.24149,0.63073,0.96127,0.003317,0.003317,0.003317
36,29692.4,1.11311,0.50064,0.89814,0.75275,0.58311,0.61889,0.37103,1.24174,0.62999,0.96136,0.0032675,0.0032675,0.0032675
37,30495.9,1.10897,0.49964,0.89779,0.75169,0.58316,0.61837,0.37065,1.24202,0.63008,0.9614,0.003218,0.003218,0.003218
38,31298.9,1.10685,0.49779,0.89682,0.75111,0.5821,0.61808,0.37069,1.24201,0.63029,0.96139,0.0031685,0.0031685,0.0031685
39,32129.7,1.10388,0.49638,0.89612,0.74871,0.58273,0.61768,0.37043,1.24212,0.6305,0.9614,0.003119,0.003119,0.003119
40,33691.8,1.10321,0.49539,0.89612,0.74905,0.5821,0.61759,0.37042,1.2426,0.63012,0.96152,0.0030695,0.0030695,0.0030695
41,34495.2,1.10108,0.49406,0.89564,0.74796,0.58198,0.61733,0.37021,1.24262,0.63018,0.96158,0.00302,0.00302,0.00302
42,35297.2,1.09884,0.49291,0.89517,0.74635,0.58187,0.61705,0.37004,1.24275,0.62991,0.96168,0.0029705,0.0029705,0.0029705
43,36100.3,1.09602,0.49192,0.89497,0.7473,0.58091,0.61679,0.36957,1.24296,0.63,0.96178,0.002921,0.002921,0.002921
44,36897.4,1.09304,0.48968,0.89414,0.74617,0.58116,0.61685,0.3697,1.24314,0.63028,0.9619,0.0028715,0.0028715,0.0028715
45,37702.1,1.09164,0.48836,0.89381,0.74907,0.57962,0.61665,0.36967,1.24374,0.63029,0.96207,0.002822,0.002822,0.002822
46,38500,1.08943,0.48755,0.89318,0.74742,0.58039,0.61664,0.36962,1.24384,0.63035,0.96221,0.0027725,0.0027725,0.0027725
47,39298.9,1.08465,0.48425,0.89251,0.74702,0.58043,0.61637,0.36931,1.24433,0.63074,0.96237,0.002723,0.002723,0.002723
48,40097.4,1.08607,0.48523,0.8927,0.74737,0.57997,0.61661,0.36937,1.24448,0.63063,0.96246,0.0026735,0.0026735,0.0026735
49,40898.7,1.08382,0.48481,0.89235,0.74706,0.57955,0.6164,0.36913,1.24477,0.63039,0.96261,0.002624,0.002624,0.002624
50,41696.5,1.08333,0.4845,0.89144,0.74631,0.57977,0.61592,0.36883,1.24516,0.63042,0.96279,0.0025745,0.0025745,0.0025745
51,42502.5,1.08229,0.48259,0.89181,0.7455,0.57936,0.61555,0.36844,1.2459,0.6302,0.96304,0.002525,0.002525,0.002525
52,43304.9,1.08047,0.48201,0.89144,0.74584,0.57937,0.61515,0.36811,1.24643,0.63048,0.96327,0.0024755,0.0024755,0.0024755
53,44111.3,1.07746,0.47993,0.89122,0.74798,0.57844,0.61435,0.36753,1.24705,0.63081,0.96352,0.002426,0.002426,0.002426
54,44918.1,1.07458,0.47911,0.89032,0.74676,0.57849,0.61391,0.3672,1.24753,0.6308,0.96374,0.0023765,0.0023765,0.0023765
55,45716.9,1.07468,0.47887,0.89046,0.74628,0.57858,0.61346,0.36689,1.24827,0.63082,0.96394,0.002327,0.002327,0.002327
56,46520.1,1.0715,0.47717,0.88969,0.7445,0.57938,0.61313,0.36647,1.24889,0.63082,0.96414,0.0022775,0.0022775,0.0022775
57,47322.1,1.06848,0.47542,0.88819,0.74661,0.57942,0.6131,0.36625,1.24953,0.63061,0.96436,0.002228,0.002228,0.002228
58,48127,1.06952,0.47556,0.88853,0.74603,0.57969,0.61336,0.36633,1.25053,0.63033,0.96461,0.0021785,0.0021785,0.0021785
59,48938.5,1.06592,0.47485,0.88854,0.74574,0.57965,0.61334,0.36609,1.25159,0.62988,0.96493,0.002129,0.002129,0.002129
60,49744.8,1.06474,0.4735,0.88792,0.74574,0.57951,0.61338,0.36587,1.25259,0.62956,0.96523,0.0020795,0.0020795,0.0020795
61,50553.6,1.06338,0.47118,0.88742,0.74481,0.58008,0.61335,0.36586,1.25365,0.62921,0.96558,0.00203,0.00203,0.00203
62,51364.8,1.063,0.47213,0.88843,0.74459,0.58004,0.6131,0.36541,1.25513,0.62868,0.96601,0.0019805,0.0019805,0.0019805
63,52651.5,1.05987,0.46924,0.88716,0.74446,0.58029,0.6128,0.36507,1.25591,0.62878,0.96627,0.001931,0.001931,0.001931
64,53468.1,1.06044,0.47036,0.8873,0.74419,0.58057,0.61268,0.36499,1.25693,0.62853,0.9666,0.0018815,0.0018815,0.0018815
65,54275.2,1.05705,0.46869,0.88663,0.74434,0.58022,0.61212,0.36448,1.25765,0.62873,0.96683,0.001832,0.001832,0.001832
66,55091.1,1.05551,0.4673,0.88686,0.74307,0.58075,0.61172,0.36425,1.25852,0.62882,0.96712,0.0017825,0.0017825,0.0017825
67,55899.6,1.05372,0.46637,0.886,0.74322,0.58148,0.61176,0.36409,1.25946,0.62894,0.96743,0.001733,0.001733,0.001733
68,56703.4,1.05196,0.46541,0.88584,0.74303,0.58191,0.61179,0.3641,1.2603,0.62784,0.96769,0.0016835,0.0016835,0.0016835
69,57514.8,1.05022,0.46509,0.88497,0.74589,0.58063,0.61179,0.36408,1.26124,0.62787,0.96798,0.001634,0.001634,0.001634
70,58324.9,1.05008,0.46353,0.88533,0.74542,0.58075,0.61164,0.36378,1.26234,0.62782,0.96837,0.0015845,0.0015845,0.0015845
71,59133.6,1.04863,0.46322,0.88485,0.74892,0.57959,0.61148,0.36353,1.26334,0.62798,0.9687,0.001535,0.001535,0.001535
72,59946.9,1.04799,0.46339,0.88499,0.74892,0.57998,0.61101,0.36308,1.26424,0.62817,0.96901,0.0014855,0.0014855,0.0014855
73,60755.5,1.04464,0.46119,0.88415,0.75002,0.57977,0.61084,0.36294,1.26505,0.62809,0.96928,0.001436,0.001436,0.001436
74,61557.7,1.04427,0.46092,0.88417,0.74892,0.58035,0.61068,0.36266,1.26556,0.62904,0.9695,0.0013865,0.0013865,0.0013865
75,62371.6,1.04274,0.45929,0.88338,0.74845,0.58086,0.61071,0.36263,1.2664,0.62872,0.96978,0.001337,0.001337,0.001337
76,63182.1,1.04089,0.45898,0.88379,0.74662,0.58115,0.6107,0.36248,1.26694,0.629,0.96998,0.0012875,0.0012875,0.0012875
77,63991.6,1.04053,0.45904,0.88343,0.74655,0.58114,0.61005,0.36221,1.26753,0.62911,0.97019,0.001238,0.001238,0.001238
78,64803.9,1.0402,0.45877,0.88318,0.74644,0.58081,0.61002,0.36192,1.26837,0.62865,0.97045,0.0011885,0.0011885,0.0011885
79,65607.9,1.03674,0.45684,0.88245,0.74629,0.58094,0.60978,0.36176,1.26904,0.62938,0.97071,0.001139,0.001139,0.001139
