epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,780.459,1.46807,1.0969,0.98612,0.50341,0.56655,0.42722,0.22608,1.39721,1.53281,1.00743,0.0683452,0.00166604,0.00166604
2,1563.74,1.40917,0.8782,0.96547,0.49137,0.52538,0.40749,0.22557,1.30788,1.48515,0.98474,0.0366455,0.00329972,0.00329972
3,2344.93,1.37512,0.81448,0.95611,0.54007,0.54656,0.4504,0.25562,1.30126,1.53718,0.98386,0.00491286,0.00490039,0.00490039
4,3126.58,1.34016,0.76725,0.94638,0.54169,0.54279,0.45763,0.25951,1.29854,1.81356,0.97661,0.0048515,0.0048515,0.0048515
5,3908.48,1.31884,0.73752,0.94119,0.54895,0.52925,0.45449,0.25871,1.29584,1.70831,0.97307,0.004802,0.004802,0.004802
6,4689.45,1.30212,0.7151,0.93618,0.54503,0.50954,0.4449,0.25356,1.28456,1.86825,0.97178,0.0047525,0.0047525,0.0047525
7,5470.88,1.28845,0.70046,0.93246,0.53185,0.51622,0.44196,0.25361,1.27727,1.88661,0.96786,0.004703,0.004703,0.004703
8,6258.54,1.27579,0.68643,0.92989,0.53503,0.52361,0.44857,0.25698,1.27423,1.76088,0.96732,0.0046535,0.0046535,0.0046535
9,7048.34,1.26622,0.67636,0.92795,0.53024,0.50481,0.43273,0.2494,1.28327,2.01743,0.96795,0.004604,0.004604,0.004604
10,7833.24,1.25771,0.6661,0.92436,0.5369,0.50505,0.44065,0.25366,1.27522,1.94734,0.96658,0.0045545,0.0045545,0.0045545
11,8617.79,1.24859,0.65841,0.92314,0.54661,0.51454,0.44682,0.25666,1.27568,1.91779,0.9654,0.004505,0.004505,0.004505
12,9419.08,1.24236,0.65101,0.92148,0.53771,0.50772,0.44255,0.25483,1.27719,1.98228,0.96596,0.0044555,0.0044555,0.0044555
13,10265.8,1.23269,0.6463,0.91993,0.54156,0.50553,0.4373,0.25272,1.27607,2.03337,0.96539,0.004406,0.004406,0.004406
14,11063.6,1.22597,0.63893,0.91844,0.53917,0.51382,0.44669,0.25807,1.27658,1.97082,0.9656,0.0043565,0.0043565,0.0043565
15,11872.4,1.22041,0.63166,0.91674,0.54264,0.50831,0.44383,0.25557,1.27726,2.01281,0.96562,0.004307,0.004307,0.004307
16,12673.2,1.21245,0.62551,0.91485,0.547,0.50641,0.44621,0.25659,1.28357,2.04019,0.96689,0.0042575,0.0042575,0.0042575
17,13488.2,1.2082,0.62239,0.91452,0.54495,0.50823,0.44584,0.25621,1.28062,2.04417,0.96626,0.004208,0.004208,0.004208
18,14305,1.20312,0.61837,0.91291,0.54843,0.50998,0.4483,0.25745,1.28156,2.01995,0.96574,0.0041585,0.0041585,0.0041585
19,15109.3,1.19672,0.61182,0.91175,0.54626,0.51033,0.44737,0.25746,1.28112,2.01689,0.96578,0.004109,0.004109,0.004109
20,15948.4,1.19262,0.60833,0.91128,0.5495,0.50755,0.44808,0.25849,1.27683,2.00509,0.96468,0.0040595,0.0040595,0.0040595
21,16778.9,1.18788,0.60582,0.91024,0.55067,0.50939,0.44921,0.25904,1.27746,2.01411,0.96504,0.00401,0.00401,0.00401
22,17623,1.18386,0.60144,0.90906,0.55079,0.51002,0.44947,0.25941,1.27755,2.02108,0.96467,0.0039605,0.0039605,0.0039605
23,18463.7,1.18054,0.59798,0.9084,0.55235,0.50931,0.44995,0.25974,1.2788,2.02449,0.9648,0.003911,0.003911,0.003911
24,19295.1,1.17666,0.59384,0.90808,0.55204,0.51007,0.45083,0.26014,1.28026,2.02171,0.96545,0.0038615,0.0038615,0.0038615
1,837.414,1.46807,1.0969,0.98612,0.50341,0.56655,0.42722,0.22608,1.39721,1.53281,1.00743,0.0683452,0.00166604,0.00166604
2,1688.06,1.40917,0.8782,0.96547,0.49137,0.52538,0.40749,0.22557,1.30788,1.48515,0.98474,0.0366455,0.00329972,0.00329972
3,2539.38,1.37512,0.81448,0.95611,0.54007,0.54656,0.4504,0.25562,1.30126,1.53718,0.98386,0.00491286,0.00490039,0.00490039
4,3381.12,1.34016,0.76725,0.94638,0.54169,0.54279,0.45763,0.25951,1.29854,1.81356,0.97661,0.0048515,0.0048515,0.0048515
5,4219.47,1.31884,0.73752,0.94119,0.54895,0.52925,0.45449,0.25871,1.29584,1.70831,0.97307,0.004802,0.004802,0.004802
6,5066.82,1.30212,0.7151,0.93618,0.54503,0.50954,0.4449,0.25356,1.28456,1.86825,0.97178,0.0047525,0.0047525,0.0047525
7,5913.45,1.28845,0.70046,0.93246,0.53185,0.51622,0.44196,0.25361,1.27727,1.88661,0.96786,0.004703,0.004703,0.004703
8,6761.04,1.27579,0.68643,0.92989,0.53503,0.52361,0.44857,0.25698,1.27423,1.76088,0.96732,0.0046535,0.0046535,0.0046535
9,7606.41,1.26622,0.67636,0.92795,0.53024,0.50481,0.43273,0.2494,1.28327,2.01743,0.96795,0.004604,0.004604,0.004604
10,8454.06,1.25771,0.6661,0.92436,0.5369,0.50505,0.44065,0.25366,1.27522,1.94734,0.96658,0.0045545,0.0045545,0.0045545
11,9286.65,1.24859,0.65841,0.92314,0.54661,0.51454,0.44682,0.25666,1.27568,1.91779,0.9654,0.004505,0.004505,0.004505
12,10137.3,1.24236,0.65101,0.92148,0.53771,0.50772,0.44255,0.25483,1.27719,1.98228,0.96596,0.0044555,0.0044555,0.0044555
13,10996.8,1.23269,0.6463,0.91993,0.54156,0.50553,0.4373,0.25272,1.27607,2.03337,0.96539,0.004406,0.004406,0.004406
14,11799.7,1.22597,0.63893,0.91844,0.53917,0.51382,0.44669,0.25807,1.27658,1.97082,0.9656,0.0043565,0.0043565,0.0043565
15,12603.2,1.22041,0.63166,0.91674,0.54264,0.50831,0.44383,0.25557,1.27726,2.01281,0.96562,0.004307,0.004307,0.004307
16,13414.6,1.21245,0.62551,0.91485,0.547,0.50641,0.44621,0.25659,1.28357,2.04019,0.96689,0.0042575,0.0042575,0.0042575
17,14228.2,1.2082,0.62239,0.91452,0.54495,0.50823,0.44584,0.25621,1.28062,2.04417,0.96626,0.004208,0.004208,0.004208
18,15044,1.20312,0.61837,0.91291,0.54843,0.50998,0.4483,0.25745,1.28156,2.01995,0.96574,0.0041585,0.0041585,0.0041585
19,15869.3,1.19672,0.61182,0.91175,0.54626,0.51033,0.44737,0.25746,1.28112,2.01689,0.96578,0.004109,0.004109,0.004109
20,16695.2,1.19262,0.60833,0.91128,0.5495,0.50755,0.44808,0.25849,1.27683,2.00509,0.96468,0.0040595,0.0040595,0.0040595
21,17520.7,1.18788,0.60582,0.91024,0.55067,0.50939,0.44921,0.25904,1.27746,2.01411,0.96504,0.00401,0.00401,0.00401
22,18342.5,1.18386,0.60144,0.90906,0.55079,0.51002,0.44947,0.25941,1.27755,2.02108,0.96467,0.0039605,0.0039605,0.0039605
23,19174.5,1.18054,0.59798,0.9084,0.55235,0.50931,0.44995,0.25974,1.2788,2.02449,0.9648,0.003911,0.003911,0.003911
24,20017.5,1.17666,0.59384,0.90808,0.55204,0.51007,0.45083,0.26014,1.28026,2.02171,0.96545,0.0038615,0.0038615,0.0038615
25,20859.3,1.17187,0.59076,0.90613,0.55187,0.51034,0.45111,0.26035,1.28094,2.01777,0.96561,0.003812,0.003812,0.003812
26,21707.5,1.16542,0.58494,0.9054,0.55296,0.51135,0.45172,0.26067,1.28129,2.0095,0.96569,0.0037625,0.0037625,0.0037625
27,22558.1,1.16325,0.5829,0.90461,0.55168,0.51265,0.4514,0.26062,1.28136,2.01226,0.96547,0.003713,0.003713,0.003713
28,23409.2,1.16106,0.58019,0.90438,0.55109,0.5138,0.45199,0.2612,1.28197,2.01136,0.96545,0.0036635,0.0036635,0.0036635
29,24259.5,1.15727,0.57739,0.90378,0.55124,0.51405,0.45203,0.26126,1.2828,2.00931,0.9655,0.003614,0.003614,0.003614
30,25123.7,1.15306,0.57363,0.90316,0.55107,0.51378,0.45234,0.26164,1.28368,2.01211,0.96565,0.0035645,0.0035645,0.0035645
31,25949,1.15192,0.57257,0.90301,0.55112,0.51475,0.45293,0.26208,1.28434,2.01081,0.96579,0.003515,0.003515,0.003515
32,26775.6,1.14793,0.57041,0.90317,0.5514,0.51499,0.45327,0.26235,1.2852,2.01301,0.96598,0.0034655,0.0034655,0.0034655
33,27605.6,1.14468,0.5673,0.90128,0.54962,0.51659,0.45392,0.26288,1.2862,2.01187,0.9662,0.003416,0.003416,0.003416
34,28436.4,1.14012,0.56317,0.90101,0.54961,0.51731,0.45465,0.26343,1.28694,2.00438,0.9666,0.0033665,0.0033665,0.0033665
35,29260.9,1.14096,0.56227,0.90121,0.55042,0.51644,0.45474,0.26368,1.2872,2.00368,0.96675,0.003317,0.003317,0.003317
36,30094,1.13764,0.55897,0.90021,0.55084,0.51556,0.4547,0.26375,1.28742,2.0069,0.96666,0.0032675,0.0032675,0.0032675
37,30924.8,1.13318,0.5575,0.9002,0.54968,0.51631,0.45471,0.26383,1.2882,2.00932,0.96685,0.003218,0.003218,0.003218
38,31755,1.132,0.55533,0.89932,0.54886,0.51693,0.45504,0.26406,1.28935,2.01054,0.96714,0.0031685,0.0031685,0.0031685
39,32617.3,1.1288,0.55326,0.89841,0.5495,0.51649,0.45548,0.26454,1.28999,2.01037,0.96739,0.003119,0.003119,0.003119
40,33453.7,1.12793,0.55241,0.8979,0.5493,0.51673,0.45585,0.26479,1.29036,2.01249,0.96738,0.0030695,0.0030695,0.0030695
41,34403.3,1.12502,0.55055,0.89762,0.54852,0.51706,0.45519,0.26445,1.28991,2.0175,0.96726,0.00302,0.00302,0.00302
42,35240,1.12337,0.54851,0.89713,0.54892,0.51751,0.45541,0.2646,1.28959,2.0181,0.96716,0.0029705,0.0029705,0.0029705
43,36078.7,1.11947,0.54636,0.89674,0.54838,0.5182,0.4558,0.26488,1.28985,2.01851,0.9671,0.002921,0.002921,0.002921
44,36920.1,1.11696,0.54397,0.89601,0.54924,0.5176,0.45602,0.26501,1.2899,2.02328,0.9669,0.0028715,0.0028715,0.0028715
45,37759.3,1.11584,0.54253,0.89591,0.54844,0.51807,0.45619,0.26494,1.28916,2.02423,0.96674,0.002822,0.002822,0.002822
46,38598.1,1.11358,0.54088,0.89526,0.54811,0.51756,0.45603,0.26491,1.28884,2.02691,0.96664,0.0027725,0.0027725,0.0027725
47,39435.7,1.10897,0.53751,0.89453,0.54645,0.51851,0.45605,0.26494,1.28882,2.03067,0.96667,0.002723,0.002723,0.002723
48,40274.7,1.11095,0.53856,0.89512,0.547,0.51867,0.45662,0.26521,1.28808,2.03035,0.96652,0.0026735,0.0026735,0.0026735
49,41108.3,1.10881,0.53648,0.89463,0.54707,0.51813,0.45653,0.26521,1.28787,2.0381,0.96629,0.002624,0.002624,0.002624
50,41920.7,1.10777,0.53579,0.89356,0.54665,0.51844,0.45658,0.26532,1.28768,2.03818,0.9662,0.0025745,0.0025745,0.0025745
51,42743.1,1.10605,0.53355,0.89354,0.54856,0.51648,0.4564,0.26513,1.2877,2.03981,0.96614,0.002525,0.002525,0.002525
52,43563.6,1.10409,0.53199,0.89361,0.54892,0.51683,0.45624,0.26487,1.2873,2.04179,0.96597,0.0024755,0.0024755,0.0024755
53,44388.9,1.10202,0.53076,0.89322,0.54966,0.51589,0.456,0.26466,1.28725,2.04652,0.96587,0.002426,0.002426,0.002426
54,45203.7,1.09824,0.52923,0.89216,0.54962,0.51579,0.45578,0.26425,1.28691,2.05074,0.96577,0.0023765,0.0023765,0.0023765
55,46024.8,1.09806,0.52897,0.89221,0.55087,0.51463,0.4554,0.264,1.28677,2.05768,0.96581,0.002327,0.002327,0.002327
56,46843.6,1.0952,0.52661,0.89163,0.55044,0.51532,0.45536,0.26409,1.2867,2.0612,0.96562,0.0022775,0.0022775,0.0022775
57,47664.8,1.09175,0.52507,0.89007,0.55141,0.51468,0.45514,0.26363,1.28627,2.06404,0.96559,0.002228,0.002228,0.002228
58,48489.9,1.09348,0.52416,0.89073,0.5503,0.51625,0.45481,0.26329,1.28603,2.06172,0.96562,0.0021785,0.0021785,0.0021785
59,49323.9,1.09,0.52255,0.89064,0.54976,0.51593,0.45489,0.26318,1.28595,2.06214,0.96561,0.002129,0.002129,0.002129
60,50152.4,1.08914,0.52182,0.88981,0.54834,0.5165,0.45435,0.26283,1.2858,2.06374,0.96568,0.0020795,0.0020795,0.0020795
61,50984.4,1.08746,0.52058,0.88944,0.54778,0.51702,0.45454,0.26281,1.28596,2.06216,0.96598,0.00203,0.00203,0.00203
62,51814.5,1.08703,0.51968,0.89046,0.54762,0.51709,0.45461,0.26281,1.28638,2.06539,0.96613,0.0019805,0.0019805,0.0019805
63,53420.3,1.08442,0.51719,0.88937,0.54711,0.5173,0.45424,0.26245,1.28655,2.07264,0.966,0.001931,0.001931,0.001931
64,54253.6,1.08459,0.51831,0.8891,0.54892,0.5157,0.45446,0.26252,1.28684,2.07568,0.96615,0.0018815,0.0018815,0.0018815
65,55089.2,1.08144,0.51596,0.8888,0.5493,0.51498,0.45455,0.26253,1.28746,2.07727,0.96619,0.001832,0.001832,0.001832
66,55923,1.07973,0.51407,0.88896,0.54931,0.51439,0.45394,0.26208,1.28797,2.07854,0.9664,0.0017825,0.0017825,0.0017825
67,56756.6,1.07829,0.51371,0.88799,0.54815,0.51465,0.45375,0.26186,1.28846,2.08624,0.96646,0.001733,0.001733,0.001733
68,57598.2,1.07642,0.51257,0.888,0.54803,0.51478,0.45355,0.26159,1.28904,2.08497,0.96673,0.0016835,0.0016835,0.0016835
69,58440.3,1.07473,0.51199,0.88743,0.54768,0.51557,0.4536,0.26143,1.28935,2.08539,0.96694,0.001634,0.001634,0.001634
70,59287.2,1.07446,0.50998,0.88798,0.54622,0.51655,0.45347,0.2612,1.28987,2.08789,0.96716,0.0015845,0.0015845,0.0015845
71,60127.6,1.07263,0.50914,0.88708,0.54628,0.51646,0.45353,0.26106,1.29005,2.08565,0.96726,0.001535,0.001535,0.001535
72,60969.3,1.07193,0.50963,0.88731,0.54605,0.51604,0.45349,0.26095,1.2905,2.08948,0.9673,0.0014855,0.0014855,0.0014855
73,61809.2,1.06916,0.50703,0.88613,0.54623,0.51539,0.45324,0.26058,1.291,2.08987,0.96741,0.001436,0.001436,0.001436
74,62648.3,1.06836,0.50682,0.88622,0.54694,0.51437,0.4529,0.26031,1.2911,2.09144,0.96746,0.0013865,0.0013865,0.0013865
75,63494.4,1.06631,0.50548,0.88571,0.54684,0.51396,0.45273,0.26,1.29142,2.09373,0.96751,0.001337,0.001337,0.001337
76,64343.9,1.06542,0.50462,0.88589,0.54653,0.51407,0.45266,0.25991,1.2918,2.09938,0.96753,0.0012875,0.0012875,0.0012875
77,65195.6,1.06493,0.50455,0.88576,0.54885,0.51289,0.45261,0.25979,1.29201,2.10687,0.96751,0.001238,0.001238,0.001238
78,66045.4,1.06465,0.50438,0.88534,0.54896,0.51287,0.45256,0.25958,1.29282,2.11286,0.96774,0.0011885,0.0011885,0.0011885
79,66888.1,1.06112,0.50143,0.88462,0.54879,0.51265,0.45239,0.25944,1.2932,2.11778,0.96766,0.001139,0.001139,0.001139
80,67736,1.06027,0.50128,0.88514,0.54904,0.51243,0.45244,0.25936,1.29314,2.11769,0.96792,0.0010895,0.0010895,0.0010895
81,68584.2,1.06053,0.50109,0.88447,0.54909,0.512,0.45221,0.25919,1.29349,2.12356,0.96795,0.00104,0.00104,0.00104
82,69432.4,1.05714,0.49824,0.884,0.54631,0.51376,0.4523,0.25928,1.29382,2.12704,0.96786,0.0009905,0.0009905,0.0009905
83,70279.3,1.05465,0.49754,0.88325,0.54689,0.51364,0.45262,0.2593,1.29456,2.12704,0.96807,0.000941,0.000941,0.000941
84,71127.8,1.05501,0.49792,0.88342,0.54757,0.51272,0.45232,0.259,1.29509,2.13308,0.96816,0.0008915,0.0008915,0.0008915
85,71982,1.05613,0.49854,0.88346,0.54595,0.51391,0.45234,0.25904,1.2956,2.13637,0.96833,0.000842,0.000842,0.000842
86,72825.3,1.0541,0.49656,0.8839,0.547,0.51335,0.45246,0.25912,1.29613,2.1365,0.96858,0.0007925,0.0007925,0.0007925
87,73665.1,1.05198,0.49502,0.88322,0.54558,0.51457,0.45237,0.25906,1.29672,2.13925,0.96863,0.000743,0.000743,0.000743
88,74502.5,1.0514,0.49393,0.88265,0.54621,0.51411,0.45265,0.25926,1.2971,2.13824,0.96866,0.0006935,0.0006935,0.0006935
89,75343.5,1.04983,0.49369,0.88248,0.54594,0.5147,0.45262,0.25912,1.29767,2.14407,0.96876,0.000644,0.000644,0.000644
90,76184.6,1.04774,0.49266,0.882,0.54609,0.51479,0.45267,0.25915,1.29735,2.14177,0.96893,0.0005945,0.0005945,0.0005945
91,76984.6,0.97332,0.43937,0.87677,0.54582,0.51452,0.45211,0.25876,1.29881,2.16057,0.96927,0.000545,0.000545,0.000545
92,77754.5,0.96472,0.43449,0.87493,0.54559,0.51441,0.45198,0.25866,1.29999,2.16812,0.96958,0.0004955,0.0004955,0.0004955
93,78519.1,0.96004,0.43157,0.87415,0.54388,0.51533,0.45183,0.25853,1.30165,2.17978,0.97019,0.000446,0.000446,0.000446
94,79284.9,0.95624,0.43002,0.87348,0.54443,0.51491,0.45171,0.25855,1.30332,2.19541,0.97055,0.0003965,0.0003965,0.0003965
95,80057.9,0.95365,0.4285,0.87287,0.5437,0.51609,0.45211,0.2588,1.30486,2.21111,0.97081,0.000347,0.000347,0.000347
