epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1042.21,1.4435,1.42778,1.03243,0.54386,0.54222,0.43792,0.24505,1.27962,1.54422,1.01057,0.00333209,0.00333209,0.00333209
2,2105.43,1.37986,0.94895,0.98429,0.52974,0.54724,0.44251,0.24862,1.27693,1.69106,1.00223,0.00659943,0.00659943,0.00659943
3,3098.81,1.36505,0.85807,0.97771,0.58153,0.53065,0.47682,0.27424,1.26662,1.55853,0.99683,0.00980078,0.00980078,0.00980078
4,4226.91,1.33396,0.7926,0.96932,0.56375,0.54258,0.47842,0.27563,1.25668,1.56903,0.99351,0.009703,0.009703,0.009703
5,5284.4,1.29625,0.73726,0.95884,0.5765,0.55356,0.4961,0.28957,1.23996,1.54308,0.98939,0.009604,0.009604,0.009604
6,6313.09,1.27204,0.7031,0.9512,0.56888,0.55694,0.49039,0.28421,1.23863,1.65158,0.98653,0.009505,0.009505,0.009505
7,7360.26,1.2545,0.68181,0.94647,0.58285,0.55008,0.50008,0.29267,1.23717,1.58116,0.98396,0.009406,0.009406,0.009406
8,8405.14,1.23858,0.66594,0.94239,0.59091,0.54638,0.49385,0.28683,1.24647,1.6941,0.98525,0.009307,0.009307,0.009307
9,9562.47,1.22652,0.65218,0.93922,0.58305,0.53701,0.47752,0.27725,1.24243,1.80614,0.98436,0.009208,0.009208,0.009208
10,10585.7,1.21658,0.64141,0.93607,0.59283,0.54813,0.49588,0.29101,1.24421,1.67864,0.98489,0.009109,0.009109,0.009109
11,11606.1,1.20505,0.63067,0.93446,0.59627,0.538,0.48423,0.28345,1.23694,1.74316,0.98256,0.00901,0.00901,0.00901
12,12627.1,1.19773,0.62178,0.93213,0.57913,0.52947,0.47579,0.27685,1.24478,1.88013,0.98524,0.008911,0.008911,0.008911
13,13725.8,1.18815,0.61405,0.93026,0.59007,0.5392,0.48831,0.28425,1.24684,1.81776,0.98473,0.008812,0.008812,0.008812
14,14796.5,1.1809,0.60583,0.92942,0.58248,0.53651,0.4817,0.28056,1.2504,1.81699,0.98684,0.008713,0.008713,0.008713
15,15813.5,1.17453,0.59868,0.92779,0.58124,0.53757,0.48084,0.28031,1.24702,1.87111,0.98534,0.008614,0.008614,0.008614
16,16835.7,1.16659,0.59121,0.92599,0.59088,0.54121,0.49186,0.28658,1.24686,1.82138,0.98644,0.008515,0.008515,0.008515
17,17912,1.163,0.58763,0.92545,0.58917,0.54074,0.4924,0.2869,1.24201,1.79683,0.98524,0.008416,0.008416,0.008416
18,18982.2,1.1585,0.58335,0.92434,0.59182,0.54326,0.49454,0.28914,1.24129,1.79591,0.98489,0.008317,0.008317,0.008317
19,20018.6,1.15288,0.5772,0.92302,0.59706,0.54607,0.49865,0.29227,1.24064,1.76942,0.98496,0.008218,0.008218,0.008218
20,21050,1.14932,0.57343,0.9228,0.59965,0.54455,0.5,0.29396,1.23982,1.769,0.98468,0.008119,0.008119,0.008119
21,22081.1,1.14454,0.57111,0.9221,0.60055,0.54233,0.49996,0.29343,1.24071,1.77754,0.98572,0.00802,0.00802,0.00802
22,23133.4,1.14157,0.56697,0.92009,0.59968,0.54367,0.49954,0.29329,1.23994,1.77715,0.98533,0.007921,0.007921,0.007921
23,24171.7,1.13989,0.56484,0.92069,0.59799,0.54419,0.49978,0.29359,1.24001,1.78256,0.98546,0.007822,0.007822,0.007822
24,28410.4,1.13571,0.56021,0.91998,0.59724,0.54721,0.50101,0.29484,1.23994,1.77538,0.9857,0.007723,0.007723,0.007723
25,29450.3,1.1308,0.5566,0.9183,0.59845,0.54746,0.50153,0.29539,1.23989,1.77453,0.98587,0.007624,0.007624,0.007624
26,30473.9,1.12642,0.55197,0.91786,0.59929,0.54707,0.50211,0.29586,1.23993,1.76876,0.98586,0.007525,0.007525,0.007525
27,31496.5,1.12399,0.55165,0.91664,0.6005,0.54765,0.5034,0.29679,1.24003,1.76125,0.98588,0.007426,0.007426,0.007426
28,32513.2,1.12253,0.54879,0.91652,0.60251,0.54624,0.50384,0.29706,1.24019,1.75941,0.98583,0.007327,0.007327,0.007327
29,37443.9,1.11991,0.54649,0.91673,0.60068,0.54839,0.50442,0.29754,1.24044,1.7542,0.98595,0.007228,0.007228,0.007228
30,38588.6,1.11649,0.54306,0.91599,0.60049,0.54896,0.50502,0.29788,1.24011,1.74992,0.98604,0.007129,0.007129,0.007129
31,39616.9,1.11365,0.54242,0.91512,0.60057,0.54927,0.50506,0.29791,1.24081,1.74876,0.98624,0.00703,0.00703,0.00703
32,40638.9,1.11039,0.54096,0.9141,0.60077,0.5496,0.50558,0.29822,1.2413,1.74797,0.98641,0.006931,0.006931,0.006931
33,41659.8,1.10837,0.53839,0.91403,0.60164,0.55035,0.50648,0.29872,1.24162,1.7431,0.98655,0.006832,0.006832,0.006832
