epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35487.5,1.53018,1.4269,0.94966,0.534,0.49516,0.41305,0.21453,1.39313,2.10309,0.94448,0.00333209,0.00333209,0.00333209
1,315.234,0,11.0953,0,0,0,0,0,0,0,0,0.00333209,0.00333209,0.00333209
2,638.869,0,0,0,0,0,0,0,0,0,0,0.00659943,0.00659943,0.00659943
3,1097.88,0,0,0,0,0,0,0,0,0,0,0.00980078,0.00980078,0.00980078
4,1598.01,0,0,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,1910.1,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,2230.45,0,0,0,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,2555.49,0,0,0,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,2885.11,0,0,0,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,3218.53,0,0,0,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,3555.34,0,0,0,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,3888.69,0,0,0,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,4225.25,0,0,0,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
1,500.455,1.53083,1.42137,0.94936,0.5115,0.48261,0.40537,0.2134,1.38524,1.75084,0.94123,0.00333209,0.00333209,0.00333209
2,989.882,1.45178,0.87827,0.92389,0.56166,0.50467,0.42787,0.2225,1.40415,1.98655,0.94219,0.00659943,0.00659943,0.00659943
3,1472.44,1.42896,0.7938,0.91826,0.53807,0.48211,0.40971,0.21693,1.37641,2.03082,0.93616,0.00980078,0.00980078,0.00980078
4,1951.07,1.39012,0.73251,0.9104,0.53313,0.51884,0.43884,0.24022,1.36862,1.67242,0.93056,0.009703,0.009703,0.009703
5,2436.29,1.3442,0.68154,0.90066,0.54164,0.50233,0.43398,0.23963,1.3401,1.95781,0.92513,0.009604,0.009604,0.009604
6,2916.53,1.31071,0.65187,0.89464,0.53118,0.53167,0.44263,0.24145,1.34467,2.0624,0.92438,0.009505,0.009505,0.009505
7,3399.92,1.29033,0.63278,0.89158,0.53951,0.51733,0.43679,0.2395,1.34485,2.13308,0.92464,0.009406,0.009406,0.009406
8,3883.33,1.26846,0.61725,0.88746,0.54933,0.52088,0.4489,0.24831,1.35318,2.06294,0.92642,0.009307,0.009307,0.009307
9,4364.99,1.25138,0.6029,0.88451,0.55555,0.52253,0.45053,0.25074,1.32756,2.09312,0.92009,0.009208,0.009208,0.009208
10,4865.81,1.23794,0.59325,0.8821,0.54992,0.51037,0.4371,0.24162,1.35606,2.19236,0.92483,0.009109,0.009109,0.009109
11,5388.18,1.2262,0.58436,0.87997,0.5608,0.50684,0.43766,0.24315,1.34231,2.16833,0.92151,0.00901,0.00901,0.00901
12,5890.99,1.21737,0.57766,0.87855,0.5563,0.50969,0.44025,0.24467,1.3337,2.11628,0.9189,0.008911,0.008911,0.008911
13,6401.03,1.21049,0.57183,0.87754,0.55118,0.51724,0.43508,0.23952,1.34398,2.14342,0.92028,0.008812,0.008812,0.008812
14,6905.47,1.20317,0.56693,0.8759,0.55138,0.52108,0.43666,0.24166,1.33686,2.07233,0.91806,0.008713,0.008713,0.008713
15,7397.03,1.19552,0.56146,0.87501,0.56019,0.51456,0.43883,0.24221,1.34149,2.07773,0.91883,0.008614,0.008614,0.008614
16,7887.34,1.18883,0.55825,0.87382,0.55191,0.51745,0.43425,0.24014,1.34499,2.07495,0.91981,0.008515,0.008515,0.008515
17,8407.72,1.18149,0.55191,0.87289,0.55043,0.51575,0.43439,0.24054,1.33093,2.05209,0.91737,0.008416,0.008416,0.008416
18,8933.35,1.17836,0.54963,0.87231,0.55563,0.51847,0.43834,0.24341,1.32666,2.0233,0.91726,0.008317,0.008317,0.008317
19,9446.73,1.17384,0.54652,0.87079,0.55543,0.51995,0.43907,0.24435,1.32254,2.02012,0.91613,0.008218,0.008218,0.008218
20,9937,1.16835,0.54301,0.87065,0.5554,0.52128,0.43976,0.24509,1.32323,2.01695,0.91653,0.008119,0.008119,0.008119
21,10446.5,1.16539,0.54019,0.86976,0.55465,0.52265,0.43993,0.24521,1.32383,2.03028,0.91667,0.00802,0.00802,0.00802
22,10971.6,1.16186,0.53891,0.86892,0.55777,0.52139,0.44085,0.24599,1.32392,2.0319,0.9167,0.007921,0.007921,0.007921
23,11484.9,1.15566,0.53504,0.86835,0.55699,0.5218,0.44174,0.24659,1.32472,2.0375,0.91693,0.007822,0.007822,0.007822
24,12009.4,1.15403,0.53364,0.86801,0.55827,0.52148,0.44311,0.24717,1.32593,2.04272,0.91719,0.007723,0.007723,0.007723
25,12529.6,1.1499,0.5312,0.86682,0.55885,0.52013,0.44296,0.24723,1.32617,2.04316,0.91726,0.007624,0.007624,0.007624
26,13052.1,1.14453,0.52774,0.86636,0.55869,0.52067,0.4433,0.24735,1.32698,2.04285,0.91735,0.007525,0.007525,0.007525
27,13568.9,1.1429,0.52701,0.86629,0.55694,0.5226,0.44338,0.24739,1.3269,2.04448,0.91732,0.007426,0.007426,0.007426
28,14043.3,1.14124,0.52551,0.86632,0.55579,0.52208,0.44286,0.24726,1.32711,2.04404,0.91736,0.007327,0.007327,0.007327
29,14529.5,1.13736,0.52318,0.86566,0.55647,0.52178,0.44319,0.24741,1.32674,2.04295,0.91721,0.007228,0.007228,0.007228
30,15015.7,1.13524,0.52155,0.86466,0.55516,0.52294,0.44393,0.24801,1.32644,2.0447,0.91715,0.007129,0.007129,0.007129
31,15506.9,1.13117,0.51882,0.86385,0.55553,0.52261,0.44477,0.24853,1.32663,2.04712,0.9172,0.00703,0.00703,0.00703
32,15999.4,1.12974,0.51742,0.86371,0.55613,0.52222,0.44545,0.24899,1.32704,2.04921,0.91732,0.006931,0.006931,0.006931
33,16486.3,1.12629,0.51561,0.8633,0.55545,0.52283,0.44605,0.24932,1.32712,2.05282,0.91727,0.006832,0.006832,0.006832
34,16966.7,1.12301,0.51454,0.86289,0.55584,0.52199,0.44588,0.24923,1.32674,2.0584,0.9172,0.006733,0.006733,0.006733
35,17464.8,1.12154,0.51253,0.86225,0.55639,0.52177,0.44609,0.24925,1.32668,2.06178,0.91723,0.006634,0.006634,0.006634
36,17970.8,1.11832,0.50981,0.86199,0.55619,0.52158,0.44583,0.24932,1.32673,2.06751,0.91722,0.006535,0.006535,0.006535
37,18467.5,1.11665,0.50898,0.86155,0.55597,0.52189,0.44597,0.24938,1.32695,2.07241,0.91729,0.006436,0.006436,0.006436
38,18980.5,1.11274,0.50764,0.86077,0.55567,0.52265,0.44626,0.24965,1.32649,2.07318,0.91717,0.006337,0.006337,0.006337
39,19472.1,1.11181,0.50702,0.86086,0.55598,0.52312,0.4467,0.24984,1.32618,2.07003,0.91716,0.006238,0.006238,0.006238
40,19981.4,1.10835,0.50416,0.86035,0.55515,0.52419,0.44714,0.25014,1.32663,2.06972,0.91723,0.006139,0.006139,0.006139
41,20472.9,1.10507,0.50321,0.85964,0.55603,0.52392,0.44718,0.25019,1.32675,2.07128,0.91732,0.00604,0.00604,0.00604
42,20989.1,1.10508,0.50319,0.86021,0.55662,0.5238,0.44769,0.25046,1.32702,2.07245,0.91736,0.005941,0.005941,0.005941
43,21510.7,1.10391,0.50223,0.85976,0.55559,0.52493,0.448,0.25064,1.32792,2.07359,0.91751,0.005842,0.005842,0.005842
44,22034.5,1.0984,0.49916,0.85837,0.55536,0.52627,0.44872,0.25096,1.32879,2.07529,0.9177,0.005743,0.005743,0.005743
45,22550.3,1.09785,0.49746,0.85855,0.5556,0.52708,0.44901,0.25111,1.32975,2.07659,0.91791,0.005644,0.005644,0.005644
46,23041.8,1.09451,0.49692,0.85826,0.55461,0.52872,0.44917,0.25121,1.32999,2.07771,0.91794,0.005545,0.005545,0.005545
47,23560.5,1.09178,0.49506,0.85759,0.55435,0.52996,0.44941,0.25133,1.33055,2.07602,0.91805,0.005446,0.005446,0.005446
48,24069.3,1.09129,0.49409,0.858,0.55382,0.53071,0.4494,0.25143,1.33139,2.07832,0.91823,0.005347,0.005347,0.005347
49,24573.7,1.0918,0.49506,0.85753,0.55311,0.53264,0.44972,0.25156,1.33194,2.07796,0.91838,0.005248,0.005248,0.005248
50,25082,1.08704,0.49248,0.85691,0.55321,0.53332,0.44975,0.2515,1.33273,2.07943,0.91856,0.005149,0.005149,0.005149
51,25593.2,1.08519,0.49184,0.85661,0.55249,0.53349,0.44975,0.25139,1.33325,2.07826,0.91872,0.00505,0.00505,0.00505
52,26099.3,1.08214,0.48977,0.85616,0.55347,0.53269,0.4491,0.25106,1.33352,2.08154,0.9188,0.004951,0.004951,0.004951
53,26613.3,1.07954,0.48737,0.85589,0.55313,0.53177,0.44831,0.25057,1.3337,2.08346,0.9188,0.004852,0.004852,0.004852
54,27139,1.08017,0.48822,0.85576,0.55303,0.53169,0.44788,0.25029,1.33464,2.08299,0.91902,0.004753,0.004753,0.004753
