sequence,track_id,team_id,is_goalie,is_referee,is_candidate,n_seen,n_feat,left_hits,right_hits,edge_ratio,score,combined,rarity,vote_a,vote_b,vote_total,vote_margin,side,std_x_ratio,std_y_ratio,motion_ok,decision_confidence,reason_code,mean_x_ratio,mean_y_ratio,mean_w_ratio,mean_h_ratio,team_p70,fused_spatial_a,fused_spatial_b,fused_neighbor_a,fused_neighbor_b,fused_appearance_a,fused_appearance_b,fused_score_a,fused_score_b
triunfazo_millos,1,0,0,0,0,655,655,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.457133,0.615395,0.022648,0.077946,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,2,1,0,0,0,657,657,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.531044,0.615649,0.023005,0.081066,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,3,0,0,0,0,657,657,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.551918,0.44079,0.017695,0.068728,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,4,0,0,0,0,120,120,0,19,0.158333,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.632829,0.502522,0.019699,0.075873,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,5,1,0,0,0,111,105,0,19,0.171171,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.745532,0.339089,0.016004,0.058889,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,6,0,0,0,0,657,657,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.333455,0.760725,0.028838,0.092955,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,7,0,0,0,0,76,75,0,76,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.956645,0.439579,0.017484,0.064884,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,8,0,0,0,0,653,653,42,0,0.064319,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.30759,0.434565,0.019666,0.067836,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,9,1,0,0,0,657,657,13,0,0.019787,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.358373,0.463879,0.019883,0.071941,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,10,1,0,0,0,231,231,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.24381,0.568123,0.02676,0.068316,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,11,1,0,0,0,70,70,0,70,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.983805,0.44181,0.016169,0.073141,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,12,0,0,0,0,94,93,0,22,0.234043,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.854739,0.446882,0.017902,0.066959,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,13,1,0,0,0,122,122,0,24,0.196721,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.748195,0.468232,0.020022,0.069607,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,14,0,0,0,0,134,133,0,29,0.216418,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.697558,0.334756,0.014228,0.051986,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,15,1,0,0,0,324,324,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.666255,0.477003,0.020233,0.066599,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,16,-1,0,0,0,4,4,0,4,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.990067,0.763786,0.01983,0.104138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,17,0,0,0,0,9,8,0,9,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.984023,0.842055,0.022055,0.10159,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,18,1,0,0,0,9,9,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.332162,0.25825,0.0118,0.042802,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,20,-1,0,0,0,6,6,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.34446,0.259131,0.010851,0.041809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,24,-1,0,0,0,6,6,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.33232,0.253799,0.01105,0.041755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,31,0,0,0,0,570,570,52,0,0.091228,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.227838,0.609274,0.023176,0.082805,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,60,-2,0,0,0,37,37,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.647327,0.257813,0.010539,0.038312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,66,-1,0,0,0,4,4,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.688961,0.259678,0.010756,0.040907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,67,0,0,0,0,335,335,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.589024,0.259527,0.010754,0.039256,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,68,0,0,0,0,443,443,0,64,0.14447,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.715223,0.329993,0.014059,0.051917,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,71,0,0,0,0,412,412,0,129,0.313107,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.675878,0.570548,0.022534,0.077957,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,73,1,0,0,0,401,401,144,0,0.359102,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.167701,0.708152,0.029242,0.092439,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,74,1,0,0,0,54,51,0,54,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.955638,0.663869,0.028708,0.08095,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,78,-1,0,0,0,7,7,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.475254,0.629789,0.026573,0.083277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,80,1,0,0,0,340,340,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.44734,0.684755,0.025523,0.088056,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,81,0,0,0,0,339,339,0,21,0.061947,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.625247,0.516236,0.021043,0.076513,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,83,1,0,0,0,8,8,0,8,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.906931,0.631773,0.035628,0.084176,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,85,0,0,0,0,15,15,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.815577,0.981666,0.025634,0.03677,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,86,1,0,0,0,329,329,0,6,0.018237,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.75616,0.49399,0.020816,0.074921,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,91,-1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.837841,0.60229,0.038856,0.088629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,92,-1,0,0,0,1,1,1,0,1.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.004524,0.460507,0.00839,0.058256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,93,0,0,0,0,20,20,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.756673,0.974494,0.026781,0.050257,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,95,-1,0,0,0,19,0,0,19,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.995898,0.486122,0.007656,0.06907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,96,-1,0,0,0,8,0,0,8,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.994385,0.968419,0.010568,0.059754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,98,0,0,0,0,84,75,0,84,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.965724,0.94558,0.025916,0.104815,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,100,0,0,0,0,53,47,0,53,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.980289,0.475122,0.017707,0.06832,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,102,1,0,0,0,180,180,0,180,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.923175,0.394529,0.019046,0.065159,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,103,0,0,0,0,25,25,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.843806,0.984405,0.024142,0.029814,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,105,-2,0,0,0,88,88,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.587135,0.248065,0.010152,0.038057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,114,-1,0,0,0,5,5,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.25599,0.241708,0.011645,0.047717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,117,0,0,0,0,85,85,0,85,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.947798,0.919286,0.028599,0.105069,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,121,-1,0,0,0,2,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.572014,0.244135,0.011358,0.038207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,123,0,0,0,0,18,18,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.216637,0.266581,0.011483,0.046239,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,125,1,0,0,0,28,28,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.338902,0.239866,0.010458,0.044345,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,128,-1,0,0,0,7,7,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.597151,0.371266,0.015719,0.056704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,131,1,0,0,0,42,41,0,42,1.0,0.0,0.0,0.0,0,0,0,0.0,right,0.0,0.0,0,0.0,,0.936759,0.921439,0.035766,0.112271,0.184119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,137,0,0,0,0,12,12,12,0,1.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.058023,0.343215,0.017559,0.047895,0.179236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,139,-1,0,0,0,3,3,3,0,1.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.034242,0.339868,0.016508,0.053918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,140,-1,0,1,0,39,39,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.639614,0.256268,0.010579,0.039435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
triunfazo_millos,144,-2,0,0,0,14,14,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,left,0.0,0.0,0,0.0,,0.521715,0.533909,0.016918,0.07967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
